nominatedowner/output	has_type	address
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/nonces
function/nonces	has_input	nonces/
nonces/	has_type	address
function/nonces	has_output	nonces/output
nonces/output	has_type	uint256
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/owner
function/owner	has_output	owner/output
owner/output	has_type	address
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/permit
function/permit	has_input	permit/owner
permit/owner	has_type	address
function/permit	has_input	permit/spender
permit/spender	has_type	address
function/permit	has_input	permit/value
permit/value	has_type	uint256
function/permit	has_input	permit/deadline
permit/deadline	has_type	uint256
function/permit	has_input	permit/v
permit/v	has_type	uint8
function/permit	has_input	permit/r
permit/r	has_type	bytes32
function/permit	has_input	permit/s
permit/s	has_type	bytes32
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/renounceownership
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/setminter
function/setminter	has_input	setminter/newminter
setminter/newminter	has_type	address
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/symbol
function/symbol	has_output	symbol/output
symbol/output	has_type	string
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/totalsupply
function/totalsupply	has_output	totalsupply/output
totalsupply/output	has_type	uint256
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/transfer
function/transfer	has_input	transfer/recipient
transfer/recipient	has_type	address
function/transfer	has_input	transfer/amount
transfer/amount	has_type	uint256
function/transfer	has_output	transfer/output
transfer/output	has_type	bool
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/transferfrom
function/transferfrom	has_input	transferfrom/sender
transferfrom/sender	has_type	address
function/transferfrom	has_input	transferfrom/recipient
transferfrom/recipient	has_type	address
function/transferfrom	has_input	transferfrom/amount
transferfrom/amount	has_type	uint256
function/transferfrom	has_output	transferfrom/output
transferfrom/output	has_type	bool 
0x000000007a58f5f58e697e51ab0357bc9e260a04	type	smartcontractaddress
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_event	event/approval
event/approval	has_input	approval/owner
approval/owner	has_type	address
event/approval	has_input	approval/spender
approval/spender	has_type	address
event/approval	has_input	approval/amount
approval/amount	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_event	event/minterset
event/minterset	has_input	minterset/caller
minterset/caller	has_type	address
event/minterset	has_input	minterset/who
minterset/who	has_type	address
event/minterset	has_input	minterset/canmint
minterset/canmint	has_type	bool
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_event	event/ownershiptransferred
event/ownershiptransferred	has_input	ownershiptransferred/previousowner
ownershiptransferred/previousowner	has_type	address
event/ownershiptransferred	has_input	ownershiptransferred/newowner
ownershiptransferred/newowner	has_type	address
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_event	event/transfer
event/transfer	has_input	transfer/from
transfer/from	has_type	address
event/transfer	has_input	transfer/to
transfer/to	has_type	address
event/transfer	has_input	transfer/amount
transfer/amount	has_type	uint256
